candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,non_glowing_required_cells,missing_required_resources,non_glowing_cell_ids,final_score,connected_cells,layout_score,diagnostics
20,false,-1,24.80,248,18481,5991,0,24,9,15,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-003|red-myco-004,16710,24,2546673,"needs-repair cell-k-001: empty/local stress B->F from adjacent cell-f-001 (produced); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-003]|[red-myco-004]"
21,false,-1,24.60,246,19175,5989,0,24,10,14,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,16635,24,2460433,"needs-repair cell-k-001: empty/local stress B->G from adjacent cell-f-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004]"
22,false,-1,24.60,246,18993,5944,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,16079,24,2459933,"needs-repair cell-k-001: empty/local stress B->J from adjacent cell-f-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
23,false,-1,24.80,248,18481,5991,0,24,9,15,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-003|red-myco-004,16710,24,2545023,"needs-repair cell-k-001: empty/local stress C->F from adjacent cell-f-001 (produced); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-003]|[red-myco-004]"
24,false,-1,24.60,246,19175,5989,0,24,10,14,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,16635,24,2458823,"needs-repair cell-k-001: empty/local stress C->G from adjacent cell-f-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004]"
25,false,-1,24.60,246,18993,5944,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,16079,24,2458323,"needs-repair cell-k-001: empty/local stress C->J from adjacent cell-f-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
26,false,-1,23.90,239,18587,5759,0,24,10,14,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,13014,24,2460733,"needs-repair cell-k-002: empty/local stress L->M from adjacent cell-j-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004]"
27,false,-1,23.80,238,18227,6879,0,24,10,14,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-004,26455,24,2565343,"needs-repair cell-m-001: empty/local stress N->J from adjacent cell-j-001 (produced); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-004]"
28,false,-1,23.90,239,17600,5695,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,13110,24,2457723,"needs-repair cell-n-001: empty/local stress P->D from adjacent cell-q-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
29,false,-1,23.90,239,17600,5695,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,13110,24,2462323,"needs-repair cell-n-001: empty/local stress M->D from adjacent cell-q-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
30,false,-1,24.00,240,18042,6591,0,24,9,15,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|red-myco-001|red-myco-003|red-myco-004,22970,24,2457773,"needs-repair cell-q-001: empty/local stress E->A from adjacent cell-d-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
31,false,-1,25.50,255,19003,6593,0,24,9,15,1,cell-a-001|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,23074,24,2412723,"needs-repair cell-a-002: empty/local stress F->C from adjacent cell-d-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-a-001,cell-a-002,cell-c-001,cell-d-001,cell-d-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-a-002,cell-c-001,cell-d-001,cell-d-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
32,false,-1,25.10,251,18891,6594,0,24,9,15,1,cell-a-001|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,23027,24,2496923,"needs-repair cell-a-002: empty/local stress F->D from adjacent cell-d-002 (produced); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-a-001,cell-a-002,cell-c-001,cell-d-001,cell-d-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-a-002,cell-c-001,cell-d-001,cell-d-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
33,false,-1,24.00,240,17368,6010,0,24,8,16,2,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,15996,24,2411923,"needs-repair cell-a-002: empty/local stress F->E from adjacent cell-h-001 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B,L;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001]|[cell-b-001]|[cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001]|[cell-b-001]|[cell-l-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
34,false,-1,24.60,246,19086,6591,0,24,9,15,1,cell-a-001|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,22972,24,2411073,"needs-repair cell-a-002: empty/local stress F->P from adjacent cell-d-002 (nonzero carried need); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-a-001,cell-a-002,cell-c-001,cell-d-001,cell-d-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-a-001,cell-a-002,cell-c-001,cell-d-001,cell-d-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001,cell-n-001,cell-p-001,cell-q-001]|[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
35,false,-1,23.80,238,18194,5847,0,24,10,14,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-004,14054,24,2473483,"needs-repair cell-k-002: empty/local stress L->A from adjacent red-myco-002 (offered); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-004]"
36,false,-1,23.80,238,17321,5786,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,13314,24,2474873,"needs-repair cell-k-002: empty/local stress L->E from adjacent red-myco-004 (offered); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
37,false,-1,23.90,239,17731,5995,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,15908,24,2475423,"needs-repair cell-k-002: empty/local stress L->F from adjacent red-myco-002 (offered); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
38,false,-1,23.80,238,17321,5786,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-003|red-myco-004,13314,24,2474423,"needs-repair cell-k-002: empty/local stress L->P from adjacent red-myco-004 (offered); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-003,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-003]|[red-myco-004]"
39,false,-1,23.70,237,17765,5417,0,24,8,16,1,cell-a-001|cell-a-002|cell-b-001|cell-c-001|cell-g-001|cell-i-001|cell-k-001|cell-k-002|cell-l-001|cell-m-001|cell-n-001|cell-o-001|cell-p-001|cell-q-001|red-myco-001|red-myco-004,8885,24,2476123,"needs-repair cell-m-001: empty/local stress N->C from adjacent red-myco-003 (offered); alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-a-002,cell-b-001,cell-c-001,cell-g-001,cell-i-001,cell-k-001,cell-k-002,cell-l-001,cell-m-001,cell-n-001,cell-o-001,cell-p-001,cell-q-001,red-myco-001,red-myco-004;missingResources=B;strong=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-004];weak=[cell-f-001,cell-g-001,cell-j-001,cell-k-001,cell-k-002,cell-m-001,cell-o-001,red-myco-002,red-myco-003]|[cell-a-001,cell-c-001,cell-d-001,cell-d-002,cell-n-001,cell-p-001,cell-q-001]|[cell-a-002,cell-e-001,cell-h-001,cell-i-001,cell-l-001]|[cell-b-001]|[red-myco-001]|[red-myco-004]"
